StoryID,Title,MODULE_STATE_Status,CURRENT_RELEASE_Status,ImplFilesExist,MigrationExists,UnitTestsPass,E2ETestsExist,IntegrationTestsReal,AuthzReal,AuditReal,BrokerReal,TenantScoped,GitCommitted,VerifiedStatus,Notes
S210,Basic Chart of Accounts CRUD,DONE_PENDING_INTEGRATION,Listed 8/8 100% (stale table),YES (account-service.ts/account-routes.ts),YES (20260724130000_add_gl_account),YES (account.test.ts 21),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Legacy gl-service GLAccount coexists unconsolidated per its own specDeviation admission.
S211,Account Hierarchy & Totaling Groups,DONE_PENDING_INTEGRATION,Listed 8/8 100% (stale table),YES (account-tree.ts logic inside account-service.ts),YES (20260724140000_add_account_hierarchy),YES (tree.test.ts 13),NO,NO (mocked),NO - local ADMIN stub (shared account-routes.ts),YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,
S010,Seed Canonical COA Skeleton,DONE_PENDING_INTEGRATION,Listed 8/8 100% (stale table),YES (seed-service.ts/seed-routes.ts),YES (20260724150000_add_coa_seed_run),YES (seed.test.ts 8),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Seed content is an interim BP-3.2 skeleton pending UQ-14 per its own specDeviation.
S212,Journal Source Registry,DONE_PENDING_INTEGRATION,Listed 8/8 100% (stale table),YES (source-service.ts/source-routes.ts),YES (20260724160000_add_journal_source),YES (source.test.ts 16),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Interim mnemonic codes pending UQ-13 per its own specDeviation - satisfies PO-DEC-004 intent but not the exact numeric-code contract described there.
S213,Journal Numbering Sequences,DONE_PENDING_INTEGRATION,Listed 8/8 100% (stale table),YES (sequence-service.ts/sequence-routes.ts),YES (20260724170000_add_journal_sequence),YES (sequence.test.ts 11),NO,NO (mocked - concurrency claim of 20 real HTTP allocations is an unverified completionEvidence.runtime string only),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Interim number format pending UQ-12/19 per its own specDeviation.
S013,Balanced Journal Posting API,DONE_PENDING_INTEGRATION,NOT MENTIONED AT ALL - CURRENT_RELEASE.md explicitly states journal posting is ""out of scope for this package"",YES (journal-posting.ts domain + posting-service.ts + serializable-retry.ts),YES (20260724180000_add_journal_posting),YES (posting-rules.test.ts 19 + posting.test.ts 6),NO,NO (mocked - SERIALIZABLE-retry concurrency behavior is asserted only via unit test, not a real concurrent-Postgres test),NO - local ADMIN stub in journal-routes.ts,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,"CONTRADICTED_BY_REPOSITORY: CURRENT_RELEASE.md (the human-readable authoritative summary) says this story's whole package is out of scope, while MODULE_STATE.json shows it fully built. journal-routes.ts has 4 of the request.user TS errors."
S214,Draft Journal,DONE_PENDING_INTEGRATION,NOT MENTIONED (same contradiction as S013),YES (draft.ts domain + draft-service.ts + draft-routes.ts),YES (20260724190000_add_manual_je_draft),YES (draft.test.ts 12),NO,NO (mocked),NO - local ADMIN stub in draft-routes.ts,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,draft-routes.ts has 1 of the request.user TS errors.
S215,Validate Manual JE,DONE_PENDING_INTEGRATION,NOT MENTIONED (same contradiction),YES (validate path inside draft-service.ts),n/a - reuses S214 columns per its own completionEvidence,YES (validate.test.ts 13 incl. a 6-scenario BR215-2 parity suite verified to actually call the same posting-rules module as S013),NO,NO (mocked),NO - local ADMIN stub (shared draft-routes.ts),YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Rule-source-sharing claim (BR215-1) is the one business rule independently confirmed by reading code: both S013 and S215 call the same journal-posting.ts validation function.
S216,Post Manual JE (Direct-Post),DONE_PENDING_INTEGRATION,NOT MENTIONED (same contradiction),YES (postDraft in draft-service.ts),YES (20260724200000_link_draft_journal),YES (post.test.ts 9),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Migration explicitly notes no FK between draft and journal due to a TEXT vs UUID id-type mismatch - deferred, a real schema debt item.
S217,View Journal Entry,DONE_PENDING_INTEGRATION,NOT MENTIONED (same contradiction),YES (journal-view-service.ts),YES (20260724210000_journal_view_index),YES (journal-view.test.ts 7),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Own knownLimitations field admits masked-role runtime is unit-test-only because dev auth hardcodes ADMIN.
S218,Reverse Posted JE,DONE_PENDING_INTEGRATION,NOT MENTIONED (same contradiction),YES (reversal-service.ts),YES (20260724220000_reversal_linkage_index),YES (reverse.test.ts 10 incl. a TB-restoration property test),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Own knownLimitations admits masked-role paths unreachable at runtime until S207 is actually wired in (it is not, per S207 row above).
S219,Void/Delete Draft JE,DONE_PENDING_INTEGRATION,NOT MENTIONED (same contradiction),YES (voidDraft in draft-service.ts),YES (20260724230000_manual_je_void_worklist_index),YES (void.test.ts 10; full coa-service suite independently re-run and confirmed 205/205 passing across 16 files),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Own knownLimitations admits authz still uses the S207 stub role-map in this service path - self-confirms the S207-wiring gap found independently in this audit.
