StoryID,Service,Entity,Action,PriorMechanism,EmittedEventName,ConsumerStatus,Actor,Tenant,CorrelationID,BeforeState,AfterState,DeliveryStatus,RetryStatus,DuplicationBehavior
S211,coa-service,GlAccount (reparent),REPARENT,AuditPort stub (write-only),coa.account.reparented,Real S007 via AuditOutboxDrainer,actor param,tenantId column,outbox row id,old parent,new parent,Delivered,Retried,Idempotent
S010,coa-service,CoaSeedRun,SEED,AuditPort stub (write-only),coaseedrun.seed,Real S007 via AuditOutboxDrainer,actor param,tenantId column,outbox row id,null,seed run summary,Delivered,Retried,Idempotent
S212,coa-service,JournalSource,CREATE/UPDATE/DEACTIVATE/BOOTSTRAP,AuditPort stub (write-only),coa.source.created/updated/deactivated (domain event),Real S007 via AuditOutboxDrainer,actor param,tenantId column,outbox row id,pre-state (update/deactivate),post-state,Delivered,Retried,Idempotent
S213,coa-service,JournalSequence (gap log),GAP_LOGGED,AuditPort stub (write-only),journalsequence.gap_logged,Real S007 via AuditOutboxDrainer,actor param,tenantId column,outbox row id,null,gap record,Delivered,Retried,Idempotent
S013,coa-service,JournalEntry,POST,AuditPort stub (write-only),acct.je.posted (domain event) + journalentry.posted (audit doc),Real S007 via AuditOutboxDrainer,request.user.sub (postedBy),tenantId column,outbox row id / idempotencyKey,null,posted entry + lines,Delivered,Retried,Idempotent (both at the business-idempotencyKey layer AND the audit sourceEventId layer)
S214,coa-service,ManualJeDraft,CREATE/UPDATE,AuditPort stub (write-only),je.draft.created/updated (domain event) + manualjedraft.* (audit doc),Real S007 via AuditOutboxDrainer,request.user.sub (preparer),tenantId column,outbox row id,pre-state (update),post-state,Delivered,Retried,Idempotent
S214,coa-service,ManualJeDraft (attachment),ATTACHMENT_ADDED,AuditPort stub (write-only),manualjedraft.attachment_added,Real S007 via AuditOutboxDrainer,request.user.sub,tenantId column,outbox row id,null,attachment metadata,Delivered,Retried,Idempotent
S215,coa-service,ManualJeDraft,VALIDATE,AuditPort stub (write-only),manualjedraft.validated,Real S007 via AuditOutboxDrainer,actor (draft actorOf()),tenantId column,outbox row id,pre-validation status,validation result,Delivered,Retried,Idempotent
S216,coa-service,ManualJeDraft->JournalEntry,POST (linked),AuditPort stub (write-only); shares S013's je.post audit chain,acct.je.posted + draft POSTED_LINKED audit doc,Real S007 via AuditOutboxDrainer,actor (postedBy),tenantId column,outbox row id,DRAFT/VALIDATED status,POSTED_LINKED status + journal number,Delivered,Retried,Idempotent
S217,coa-service,JournalEntry,VIEW (masked-role audit.viewed event only),AuditPort stub for audit.viewed (write-only),audit.viewed,Real S007 via AuditOutboxDrainer,userId param,tenantId column,outbox row id,n/a,n/a (view event, no state change),Delivered,Retried,Idempotent
S218,coa-service,JournalEntry,REVERSE,AuditPort stub (write-only),acct.je.posted (reversalOf) + journalentry reversal audit doc,Real S007 via AuditOutboxDrainer,userId param,tenantId column,outbox row id,POSTED status,REVERSED status + reversal linkage,Delivered,Retried,Idempotent
S219,coa-service,ManualJeDraft,VOID,AuditPort stub (write-only),je.draft.voided (domain event) + manualjedraft.voided (audit doc),Real S007 via AuditOutboxDrainer,actor (own or admin-any),tenantId column,outbox row id,DRAFT/POSTED_LINKED status,VOIDED status + void reason,Delivered,Retried,Idempotent
S205,auth-service,User,CREATE/RESET/DEACTIVATE/UNLOCK,AuditPort stub (write-only per S205 completion notes),user.create/reset/deactivate/unlock (audit doc),Real S007 via AuditOutboxDrainer (unchanged this phase; already had audit calls),dto.actor / system,tenantId column,outbox row id,pre-state (deactivate/unlock),post-state,Delivered,Retried,Idempotent
S206,auth-service,Role,CREATE/UPDATE/RETIRE,AuditPort stub (write-only),role.create/update/retire (audit doc),Real S007 via AuditOutboxDrainer,dto.actor,tenantId column,outbox row id,pre-state (update/retire),post-state,Delivered,Retried,Idempotent
S206,auth-service,RoleAssignment,GRANT/REVOKE,AuditPort stub (write-only),role_assignment.grant/revoke (audit doc),Real S007 via AuditOutboxDrainer,dto.actor,tenantId column,outbox row id,null (grant) / pre-revoke,post-grant/revoke,Delivered,Retried,Idempotent
S207,auth-service,Authorization decision,DENY (authorization denial audit),AuditPort stub — authz_outbox_events, DIFFERENT shape (eventType/aggregateId/payload), write-only,iam.authz.denied,Real S007 via a SECOND AuditOutboxDrainer instance (makePrismaGenericEventOutboxStore adapter — different outbox shape than audit_outbox),req.userId,scope.tenantId,outbox row id,n/a (denial event, no entity state change),denial reason + scope,Delivered,Retried,Idempotent
