StoryID,Service,Route,Action,RequiredPermission,PriorEnforcement,TargetS207Enforcement,TenantScope,EntityStoreScope,PositiveTest,UnauthorizedNegativeTest,CrossTenantNegativeTest
S208,coa-service,GET /api/v1/fiscal/entities/:entityId/periods/resolve,date->period resolve,fiscal.calendar.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S209,coa-service,GET /api/v1/fiscal/periods,period status board,fiscal.period.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S209,coa-service,GET /api/v1/fiscal/periods/:id/eligibility,posting eligibility,fiscal.period.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S209,coa-service,POST /api/v1/fiscal/periods/:id/open,open period,fiscal.period.open,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S010,coa-service,POST /api/v1/coa/seed,run canonical seed,coa.seed.run,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S010,coa-service,GET /api/v1/coa/diff-from-canonical,diff report,coa.seed.run,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S212,coa-service,POST /api/v1/coa/journal-sources,create source,coa.source.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S212,coa-service,POST /api/v1/coa/journal-sources/bootstrap-reserved,idempotent seed,coa.source.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S212,coa-service,POST /api/v1/coa/journal-sources/assert-manual,BR212-1 guard,coa.source.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard as S212 VIEW),YES,YES (new)
S212,coa-service,GET /api/v1/coa/journal-sources,list,coa.source.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S212,coa-service,GET /api/v1/coa/journal-sources/:code,get,coa.source.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S212,coa-service,PATCH /api/v1/coa/journal-sources/:code,update,coa.source.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S212,coa-service,POST /api/v1/coa/journal-sources/:code/deactivate,deactivate,coa.source.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S213,coa-service,POST /api/v1/coa/journal-sequences/allocate,allocate next number,je.sequence.allocate,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S213,coa-service,POST /api/v1/coa/journal-sequences/log-gap,log a gap,je.sequence.allocate,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S213,coa-service,GET /api/v1/coa/journals/gap-report,gap report,je.gap_report.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S013,coa-service,POST /api/v1/coa/journals,BR013 balanced posting,je.post,Local ROLE_PERMISSIONS stub (excluded ACCOUNTANT in the pre-existing central catalog seed; local stub already granted it),Real S207 via HttpAuthzClient (catalog corrected to grant ACCOUNTANT — see AUTHORIZATION_CLOSURE_REPORT.md reconciliation note),Enforced,Tenant-wide,YES (new),YES,YES (new)
S217,coa-service,GET /api/v1/coa/journals/:number,view posted JE,je.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S218,coa-service,POST /api/v1/coa/journals/:id:reverse,reverse posted JE,je.reverse,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S214,coa-service,POST /api/v1/coa/manual-journals/drafts,create draft,je.draft.create,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S214,coa-service,GET /api/v1/coa/manual-journals/drafts,list drafts,ANY of je.draft.{create,edit,view_all,void,void.any} (requireDraftReader),Local ROLE_PERMISSIONS stub (size-check),Real S207 via HttpAuthzClient (parallel any-of check),Enforced,Tenant-wide,YES (new — CLERK case),YES (new — NO_PERMISSIONS_ROLE case),Covered by the same per-permission cross-tenant cases above (reader gate is a superset check)
S214,coa-service,GET /api/v1/coa/manual-journals/drafts/:id,get draft,ANY of je.draft.* (requireDraftReader),Local ROLE_PERMISSIONS stub (size-check),Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,See above
S214,coa-service,PUT /api/v1/coa/manual-journals/drafts/:id,update draft,je.draft.edit,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S214,coa-service,POST /api/v1/coa/manual-journals/drafts/:id/attachments,add attachment,je.draft.edit,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (same guard)
S215,coa-service,POST /api/v1/coa/manual-journals/drafts/:id:validate,validate draft,je.draft.edit (implied),Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard as S214 EDIT),YES,YES (same guard)
S216,coa-service,POST /api/v1/coa/manual-journals/drafts/:id:post,post draft,je.post (cross-file: calls journal-routes.ts's requireJePermission inline),Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (covered by S013 je.post cases; same guard function),YES,YES (same guard function)
S219,coa-service,POST /api/v1/coa/manual-journals/drafts/:id:void,void own draft,je.draft.void,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard as S214),YES,YES (same guard)
S219,coa-service,POST /api/v1/coa/manual-journals/drafts/:id:void (admin-any path),void another preparer's draft,je.draft.void.any,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient (business-logic flag canVoidAny now resolved via real check in actorOf(), not a local Set lookup),Enforced,Tenant-wide,NO (not independently tested at the route-permission level in this phase; DraftService's own reason-required behavior IS covered by tests/void.test.ts's application-layer tests),N/A (flag resolution, not a route gate),N/A
