Service,Table,TenantColumn,TenantAwareKeyIndex,AppQueryFilter,RLSEnabled,SelectPolicy,InsertPolicy,UpdatePolicy,DeletePolicy,BackgroundWorkerContext,TestCoverage
coa-service,fiscal_period,tenant_id,index on entity+status,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,coa_seed_run,tenant_id,index,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,journal_source,tenant_id,unique per tenant+code,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,journal_sequence,tenant_id,unique per source+entity+period,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested (BR213-1 atomic-under-concurrency claim)
coa-service,sequence_gap_log,tenant_id,index on tenantId+entityId+periodCode,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,journal_entry,tenant_id,"@@unique([tenantId, idempotencyKey])",YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested (BR013 atomic posting + idempotency + reversal linkage)
coa-service,journal_line,tenant_id,index on journalEntryId/accountId/tenantId,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested
coa-service,balance_snapshot,tenant_id,index on entity+account+period,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,manual_je_draft,tenant_id,index on tenant+preparer+status,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested
coa-service,manual_je_draft_revision,tenant_id,index on draftId+version,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,attachment,tenant_id,index on draftId,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,audit_outbox,tenant_id,@@index([publishedAt, retryCount]),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,AuditOutboxDrainer poller,Live-DB tested
coa-service,coa_outbox_events,tenant_id,@@index([publishedAt, retryCount]),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,Not yet drained (domain events only; no consumer built in this package — same broker gap as Phase 4),Policy applied + migration-tested
audit-service,audit_logs,tenant_id,multiple indexes (tenantId; tenantId+eventType; etc.),YES (getByTenant/getByEntity accept optional tenantId),YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update (defense-in-depth only — immutable trigger is the primary control),tenant_isolation_delete (same),AuditOutboxDrainer (writer, from all 3 other services),Live-DB tested
--- EXCLUDED FROM RLS SCOPE (not tenant-owned; documented, not omitted by oversight) ---
tenant-service,tenants,N/A — this table IS the tenant registry; id is the tenant identifier,N/A,N/A,NOT APPLICABLE (platform-level registry; ADR-001's own reference scope named only legal_entities/tenant_outbox_events),N/A,N/A,N/A,N/A,N/A,N/A
auth-service,permission,N/A — platform-wide catalog shared by all tenants,N/A,N/A,NOT APPLICABLE,N/A,N/A,N/A,N/A,N/A,N/A
auth-service,role_permission,N/A — platform-wide catalog,N/A,N/A,NOT APPLICABLE,N/A,N/A,N/A,N/A,N/A,N/A
auth-service,catalog_version,N/A — platform-wide metadata,N/A,N/A,NOT APPLICABLE,N/A,N/A,N/A,N/A,N/A,N/A
